dataset,platform,model,iteration,MCC,F1,Precision,Recall,Accuracy
A,Claude,Haiku 4.5,1,0.2917072064754043,0.5479204339963835,0.772657450076805,0.5780219780219781,0.7
A,Claude,Haiku 4.5,2,0.5261353625024292,0.7606837606837606,0.7738095238095237,0.7527472527472527,0.79
A,Claude,Haiku 4.5,3,0.2682418448682135,0.619678567046988,0.6544289044289044,0.6164835164835165,0.69
A,Claude,Haiku 4.5,4,0.3376152472275589,0.6266666666666667,0.7254901960784313,0.6263736263736264,0.72
A,Claude,Haiku 4.5,5,0.24459979523511424,0.5555555555555557,0.6944444444444444,0.5769230769230769,0.69
A,Claude,Haiku 4.5,6,0.44524824258234885,0.7023809523809524,0.7606992163954189,0.6901098901098902,0.76
A,Claude,Haiku 4.5,7,0.42796049251091284,0.712,0.7083333333333334,0.7197802197802198,0.73
A,Claude,Haiku 4.5,8,0.3144854510165755,0.6363636363636365,0.6875,0.631868131868132,0.71
A,Claude,Haiku 4.5,9,0.3026137663344012,0.6428571428571428,0.6666666666666666,0.6373626373626374,0.7
A,Claude,Haiku 4.5,10,0.28205128205128205,0.5629370629370629,0.7350427350427351,0.5846153846153845,0.7
A,Claude,Haiku 4.5 Thinking,1,0.27807762803722214,0.5765104460756635,0.7119509703779368,0.5912087912087912,0.7
A,Claude,Haiku 4.5 Thinking,2,0.27742015370810225,0.5888157894736842,0.6967285587975244,0.5978021978021978,0.7
A,Claude,Haiku 4.5 Thinking,3,0.13696356726888637,0.42411924119241196,0.8282828282828282,0.5142857142857143,0.66
A,Claude,Haiku 4.5 Thinking,4,0.479844411056425,0.7395833333333334,0.737022737022737,0.7428571428571429,0.76
A,Claude,Haiku 4.5 Thinking,5,0.27807762803722214,0.5765104460756635,0.7119509703779368,0.5912087912087912,0.7
A,Claude,Haiku 4.5 Thinking,6,0.37420133621706914,0.6245306633291615,0.7746212121212122,0.6274725274725275,0.73
A,Claude,Haiku 4.5 Thinking,7,0.3694651825543318,0.6687523003312478,0.7127039627039627,0.6604395604395604,0.73
A,Claude,Haiku 4.5 Thinking,8,0.2682418448682135,0.619678567046988,0.6544289044289044,0.6164835164835165,0.69
A,Claude,Haiku 4.5 Thinking,9,0.14406431332048858,0.5200451722190852,0.6098059244126659,0.5472527472527473,0.66
A,Claude,Haiku 4.5 Thinking,10,0.20953616239782563,0.517781796262809,0.695852534562212,0.5560439560439561,0.68
A,Claude,Opus 4.6,1,0.6630593140386221,0.8262078554049357,0.8521825396825395,0.8120879120879121,0.85
A,Claude,Opus 4.6,2,0.7163279717599775,0.85806310732612745,0.8559027777777778,0.8604395604395604,0.87
A,Claude,Opus 4.6,3,0.6202388138183343,0.8092245539221187,0.817095588235294,0.8032967032967033,0.83
A,Claude,Opus 4.6,4,0.5852923671697378,0.7925537722458783,0.7907986111111112,0.7945054945054946,0.81
A,Claude,Opus 4.6,5,0.5507825661717537,0.7738579828132067,0.7840112201963535,0.767032967032967,0.8
A,Claude,Opus 4.6,6,0.6651836553993731,0.8316687240489283,0.8400735294117647,0.8252747252747253,0.85
A,Claude,Opus 4.6,7,0.5696706782585345,0.7798632835129186,0.802579365079365,0.7681318681318681,0.81
A,Claude,Opus 4.6,8,0.6415411846289305,0.8095238095238095,0.8533333333333334,0.7912087912087911,0.84
A,Claude,Opus 4.6,9,0.6676299191075873,0.8196898665705011,0.8728070175438595,0.7989010989010987,0.85
A,Claude,Opus 4.6,10,0.6202388138183343,0.8092245539221187,0.817095588235294,0.8032967032967033,0.83
A,Claude,Opus 4.6 Thinking,1,0.5797879285017884,0.7897997566102445,0.7918894830659537,0.7879120879120878,0.81
A,Claude,Opus 4.6 Thinking,2,0.5604395604395603,0.7802197802197801,0.7802197802197801,0.7802197802197801,0.8
A,Claude,Opus 4.6 Thinking,3,0.5604395604395603,0.7802197802197801,0.7802197802197801,0.7802197802197801,0.8
A,Claude,Opus 4.6 Thinking,4,0.6289709020331511,0.8143902172726281,0.8125,0.8164835164835165,0.83
A,Claude,Opus 4.6 Thinking,5,0.5926655903099431,0.7896213183730715,0.8183663115169965,0.7758241758241757,0.82
